x,y,Ma,rho/rho1,p/p1,T/T1
4.330125,36.000000,2.000000,1.000000,1.000000,1.000000
4.330125,37.000000,2.000000,1.000000,1.000000,1.000000
4.330125,38.000000,2.000000,1.000000,1.000000,1.000000
4.330125,39.000000,2.000000,1.000000,1.000000,1.000000
4.330125,40.000000,2.000000,1.000000,1.000000,1.000000
5.196150,0.000000,1.999999,1.000001,1.000001,1.000000
5.196150,1.000000,2.000000,1.000000,1.000001,1.000000
5.196150,2.000000,2.000000,1.000000,1.000001,1.000000
5.196150,3.000000,2.000000,1.000000,1.000000,1.000000
5.196150,4.000000,2.000000,1.000000,1.000000,1.000000
5.196150,5.000000,2.000000,1.000000,1.000000,1.000000
5.196150,6.000000,2.000000,1.000000,1.000000,1.000000
5.196150,7.000000,2.000000,1.000000,1.000000,1.000000
5.196150,8.000000,2.000000,1.000000,1.000000,1.000000
5.196150,9.000000,2.000000,1.000000,1.000000,1.000000
5.196150,10.000000,2.000000,1.000000,1.000000,1.000000
5.196150,11.000000,2.000000,1.000000,1.000000,1.000000
5.196150,12.000000,2.000000,1.000000,1.000000,1.000000
5.196150,13.000000,2.000000,1.000000,1.000000,1.000000
5.196150,14.000000,2.000000,1.000000,1.000000,1.000000
5.196150,15.000000,2.000000,1.000000,1.000000,1.000000
5.196150,16.000000,2.000000,1.000000,1.000000,1.000000
5.196150,17.000000,2.000000,1.000000,1.000000,1.000000
5.196150,18.000000,2.000000,1.000000,1.000000,1.000000
5.196150,19.000000,2.000000,1.000000,1.000000,1.000000
5.196150,20.000000,2.000000,1.000000,1.000000,1.000000
5.196150,21.000000,2.000000,1.000000,1.000000,1.000000
5.196150,22.000000,2.000000,1.000000,1.000000,1.000000
5.196150,23.000000,2.000000,1.000000,1.000000,1.000000
5.196150,24.000000,2.000000,1.000000,1.000000,1.000000
5.196150,25.000000,2.000000,1.000000,1.000000,1.000000
5.196150,26.000000,2.000000,1.000000,1.000000,1.000000
5.196150,27.000000,2.000000,1.000000,1.000000,1.000000
5.196150,28.000000,2.000000,1.000000,1.000000,1.000000
5.196150,29.000000,2.000000,1.000000,1.000000,1.000000
5.196150,30.000000,2.000000,1.000000,1.000000,1.000000
5.196150,31.000000,2.000000,1.000000,1.000000,1.000000
5.196150,32.000000,2.000000,1.000000,1.000000,1.000000
5.196150,33.000000,2.000000,1.000000,1.000000,1.000000
5.196150,34.000000,2.000000,1.000000,1.000000,1.000000
5.196150,35.000000,2.000000,1.000000,1.000000,1.000000
5.196150,36.000000,2.000000,1.000000,1.000000,1.000000
5.196150,37.000000,2.000000,1.000000,1.000000,1.000000
5.196150,38.000000,2.000000,1.000000,1.000000,1.000000
5.196150,39.000000,2.000000,1.000000,1.000000,1.000000
5.196150,40.000000,2.000000,1.000000,1.000000,1.000000
6.062175,0.000000,1.999999,1.000001,1.000001,1.000000
6.062175,1.000000,2.000000,1.000000,1.000001,1.000000
6.062175,2.000000,2.000000,1.000001,1.000001,1.000000
6.062175,3.000000,2.000000,1.000000,1.000000,1.000000
6.062175,4.000000,2.000000,1.000000,1.000000,1.000000
6.062175,5.000000,2.000000,1.000000,1.000000,1.000000
6.062175,6.000000,2.000000,1.000000,1.000000,1.000000
6.062175,7.000000,2.000000,1.000000,1.000000,1.000000
6.062175,8.000000,2.000000,1.000000,1.000000,1.000000
6.062175,9.000000,2.000000,1.000000,1.000000,1.000000
6.062175,10.000000,2.000000,1.000000,1.000000,1.000000
6.062175,11.000000,2.000000,1.000000,1.000000,1.000000
6.062175,12.000000,2.000000,1.000000,1.000000,1.000000
6.062175,13.000000,2.000000,1.000000,1.000000,1.000000
6.062175,14.000000,2.000000,1.000000,1.000000,1.000000
6.062175,15.000000,2.000000,1.000000,1.000000,1.000000
6.062175,16.000000,2.000000,1.000000,1.000000,1.000000
6.062175,17.000000,2.000000,1.000000,1.000000,1.000000
6.062175,18.000000,2.000000,1.000000,1.000000,1.000000
6.062175,19.000000,2.000000,1.000000,1.000000,1.000000
6.062175,20.000000,2.000000,1.000000,1.000000,1.000000
6.062175,21.000000,2.000000,1.000000,1.000000,1.000000
6.062175,22.000000,2.000000,1.000000,1.000000,1.000000
6.062175,23.000000,2.000000,1.000000,1.000000,1.000000
6.062175,24.000000,2.000000,1.000000,1.000000,1.000000
6.062175,25.000000,2.000000,1.000000,1.000000,1.000000
